x y z
0.342 0.13 2
0.122 0.026 3
0.345 0.133 2
0.348 0.107 2
0.348 0.192 3
0.35 0.198 2
0.35 0.16 3
0.356 0.116 2
0.357 0.178 3
0.358 0.183 3
0.36 0.119 2
0.361 0.142 2
0.123 0.065 3
0.008 0.01 3
0.362 0.128 2
0.363 0.115 2
0.363 0.157 2
0.366 0.193 2
0.368 0.114 2
0.368 0.176 3
0.368 0.191 3
0.369 0.182 3
0.372 0.111 2
0.374 0.184 3
0.124 0.001 3
0.374 0.127 2
0.377 0.163 3
0.378 0.175 3
0.379 0.116 2
0.383 0.113 2
0.384 0.118 2
0.385 0.138 2
0.386 0.15 2
0.388 0.157 2
0.389 0.16 2
0.124 0.048 2
0.391 0.103 2
0.392 0.154 2
0.394 0.186 2
0.394 0.103 2
0.396 0.139 2
0.397 0.166 2
0.398 0.17 2
0.398 0.179 2
0.398 0.154 2
0.4 0.166 2
0.124 0.016 3
0.4 0.156 2
0.401 0.179 2
0.404 0.127 2
0.406 0.184 2
0.406 0.14 2
0.411 0.197 2
0.417 0.142 2
0.417 0.101 2
0.42 0.17 2
0.422 0.191 2
0.128 0.004 3
0.427 0.196 2
0.43 0.162 2
0.431 0.144 2
0.432 0.193 2
0.433 0.164 2
0.434 0.155 2
0.434 0.107 2
0.439 0.107 2
0.439 0.115 2
0.441 0.127 2
0.129 0.093 2
0.442 0.186 2
0.444 0.174 2
0.444 0.166 2
0.448 0.181 2
0.449 0.159 2
0.449 0.184 3
0.449 0.102 3
0.45 0.139 3
0.45 0.192 3
0.451 0.132 3
0.13 0.019 3
0.452 0.127 3
0.453 0.196 2
0.453 0.189 3
0.454 0.173 3
0.454 0.146 3
0.455 0.158 3
0.455 0.12 3
0.456 0.1 2
0.456 0.198 3
0.457 0.17 2
0.132 0.009 3
0.458 0.139 3
0.458 0.175 3
0.459 0.101 2
0.46 0.181 3
0.462 0.134 3
0.462 0.147 3
0.462 0.189 3
0.463 0.179 3
0.465 0.14 3
0.466 0.104 2
0.134 0.001 3
0.468 0.198 2
0.469 0.178 3
0.47 0.167 3
0.472 0.195 2
0.473 0.132 1
0.474 0.172 3
0.475 0.114 2
0.477 0.182 3
0.477 0.102 2
0.479 0.12 3
0.135 0.078 2
0.479 0.135 3
0.479 0.168 3
0.481 0.171 3
0.481 0.152 3
0.482 0.124 3
0.483 0.116 2
0.483 0.191 1
0.485 0.17 3
0.485 0.11 2
0.486 0.135 2
0.136 0.015 3
0.008 0.018 3
0.487 0.103 2
0.487 0.118 2
0.487 0.165 3
0.488 0.177 1
0.489 0.168 3
0.49 0.185 1
0.49 0.193 1
0.492 0.198 1
0.493 0.112 2
0.495 0.182 1
0.136 0.073 3
0.495 0.134 2
0.496 0.196 1
0.497 0.16 3
0.497 0.189 1
0.498 0.178 1
0.498 0.148 2
0.498 0.107 2
0.5 0.163 3
0.5 0.173 3
0.5 0.148 2
0.137 0.05 2
0.5 0.191 1
0.501 0.178 3
0.501 0.159 3
0.503 0.113 2
0.504 0.156 2
0.504 0.167 3
0.504 0.197 1
0.505 0.134 2
0.505 0.182 3
0.507 0.111 2
0.138 0.009 3
0.507 0.126 2
0.507 0.162 2
0.508 0.135 2
0.508 0.177 2
0.508 0.198 3
0.511 0.116 2
0.512 0.107 2
0.513 0.185 3
0.513 0.15 2
0.514 0.195 3
0.138 0.068 3
0.517 0.169 2
0.519 0.109 2
0.519 0.116 2
0.52 0.125 2
0.522 0.119 2
0.522 0.145 2
0.522 0.157 2
0.522 0.198 3
0.522 0.105 2
0.523 0.141 2
0.139 0.057 3
0.526 0.112 2
0.528 0.191 3
0.529 0.163 3
0.531 0.185 3
0.532 0.131 3
0.533 0.148 3
0.533 0.165 3
0.535 0.195 3
0.535 0.127 2
0.537 0.18 2
0.141 0.063 3
0.539 0.17 2
0.541 0.142 3
0.541 0.194 3
0.542 0.182 3
0.542 0.151 3
0.543 0.122 3
0.543 0.106 2
0.546 0.163 3
0.547 0.147 3
0.547 0.195 3
0.141 0.073 3
0.548 0.103 2
